epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78841,5.22903,6.22458,3.96214,0.00022,0.02778,4e-05,1e-05,3.33399,4.66447,2.36107,0.000439692,0.000439692,0.000439692
2,3.4723,3.21856,4.40769,2.22831,0.00701,0.25,0.01384,0.00445,2.88,4.20845,2.17659,0.000913003,0.000913003,0.000913003
3,5.2175,2.3303,3.69497,1.8233,0.00899,0.69444,0.03032,0.00571,2.61463,4.28558,2.31241,0.00138317,0.00138317,0.00138317
4,6.88969,2.28844,3.4314,1.76782,0.00635,0.5,0.05788,0.01396,2.33027,3.99632,2.14657,0.00141485,0.00141485,0.00141485
5,8.60855,2.12647,3.12472,1.69077,0.01025,0.94444,0.16174,0.05715,2.09625,3.61424,2.00061,0.00141014,0.00141014,0.00141014
6,10.3488,2.02744,2.73957,1.63628,0.69269,0.11111,0.24875,0.10636,1.98449,3.3624,1.81025,0.00140542,0.00140542,0.00140542
7,12.1649,1.94145,2.56226,1.59637,0.6344,0.25,0.26771,0.11565,2.21278,3.15407,1.72512,0.00140071,0.00140071,0.00140071
8,13.8309,1.85702,2.27722,1.57216,0.57215,0.4597,0.47434,0.21292,1.87676,2.71178,1.78603,0.00139599,0.00139599,0.00139599
9,15.5863,1.76337,2.22032,1.57513,0.58137,0.45369,0.46587,0.18664,2.14748,2.92363,1.86283,0.00139127,0.00139127,0.00139127
10,17.2571,1.63849,2.00421,1.52615,0.63604,0.33333,0.34744,0.14676,2.37613,2.99615,1.99341,0.00138656,0.00138656,0.00138656
11,18.9362,1.74268,1.89144,1.53272,0.42477,0.52778,0.44622,0.20245,2.04699,2.64403,1.84059,0.00138184,0.00138184,0.00138184
12,20.6484,1.69626,1.84914,1.4766,0.46176,0.52984,0.5567,0.24489,1.93855,2.41239,1.73734,0.00137713,0.00137713,0.00137713
13,22.3535,1.70764,1.7727,1.48419,0.76087,0.68951,0.81371,0.35244,1.831,1.94726,1.61531,0.00137241,0.00137241,0.00137241
14,24.0234,1.60818,1.66714,1.44097,0.74874,0.77778,0.80364,0.36165,1.78713,1.98492,1.63215,0.0013677,0.0013677,0.0013677
15,25.7687,1.62961,1.72437,1.43824,0.69368,0.82254,0.82683,0.43129,1.65669,1.84861,1.59749,0.00136298,0.00136298,0.00136298
16,27.4398,1.61899,1.6433,1.43452,0.74278,0.73603,0.82227,0.42036,1.76995,1.83135,1.56316,0.00135826,0.00135826,0.00135826
17,29.1336,1.50714,1.62032,1.41169,0.74688,0.81351,0.84298,0.41574,1.71846,1.69601,1.58539,0.00135355,0.00135355,0.00135355
18,30.8172,1.49865,1.55508,1.3584,0.77509,0.94222,0.88218,0.43681,1.62381,1.48139,1.58928,0.00134883,0.00134883,0.00134883
19,32.5339,1.42528,1.51544,1.3384,0.67999,0.91667,0.87878,0.50009,1.63252,1.5902,1.63275,0.00134412,0.00134412,0.00134412
20,34.1834,1.47493,1.50451,1.35293,0.74416,0.88889,0.89853,0.5199,1.41877,1.54849,1.5054,0.0013394,0.0013394,0.0013394
