epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60328,4.09333,7.54994,3.18917,0,0,0,0,4.40661,8.16486,3.11734,0.000439692,0.000439692,0.000439692
2,7.23762,2.71476,5.63452,2.17384,0.0086,0.61111,0.15874,0.05735,1.94013,4.80825,1.6293,0.000913003,0.000913003,0.000913003
3,9.93401,1.91564,4.24877,1.52332,0.0112,0.77778,0.12158,0.03745,1.88002,4.69776,1.61824,0.00138317,0.00138317,0.00138317
4,12.5796,1.81771,3.97934,1.43596,0.0065,0.41667,0.0309,0.00998,2.15938,5.07034,2.13353,0.00141485,0.00141485,0.00141485
5,15.2646,1.5789,3.58503,1.34266,0.00853,0.83333,0.22297,0.06653,1.90424,4.61151,1.51891,0.00141014,0.00141014,0.00141014
6,17.8427,1.51246,3.18789,1.27785,0.68144,0.09482,0.33834,0.1271,1.76265,4.13614,1.35654,0.00140542,0.00140542,0.00140542
7,20.4526,1.49298,3.03201,1.20563,0.74446,0.17477,0.26076,0.13098,1.8904,4.29075,1.56275,0.00140071,0.00140071,0.00140071
8,23.0482,1.37949,2.75128,1.17803,0.00959,0.63889,0.21608,0.11606,1.91929,4.58732,1.66165,0.00139599,0.00139599,0.00139599
9,25.6612,1.33143,2.56512,1.10962,0.60174,0.16667,0.31812,0.18267,1.68141,4.29981,1.47722,0.00139127,0.00139127,0.00139127
10,28.2174,1.3277,2.37793,1.12624,0.81419,0.5041,0.66856,0.436,1.3918,3.2502,1.15338,0.00138656,0.00138656,0.00138656
11,30.8174,1.25838,2.2656,1.09097,0.73427,0.68564,0.73875,0.44805,1.38401,2.87768,1.12934,0.00138184,0.00138184,0.00138184
12,33.3904,1.32933,2.09399,1.09619,0.88559,0.68073,0.81656,0.51885,1.35198,2.60509,1.11805,0.00137713,0.00137713,0.00137713
13,35.9985,1.18852,1.97519,1.06577,0.72684,0.79807,0.88291,0.56034,1.36828,2.66483,1.23833,0.00137241,0.00137241,0.00137241
14,38.605,1.1776,1.90792,1.07506,0.83072,0.72748,0.88536,0.53613,1.43801,2.48297,1.33734,0.0013677,0.0013677,0.0013677
15,41.1775,1.18388,1.92005,1.05229,0.80596,0.65004,0.80806,0.49679,1.325,2.79433,1.23735,0.00136298,0.00136298,0.00136298
16,43.733,1.14378,1.80329,1.04962,0.76707,0.86111,0.87108,0.57807,1.2853,2.07264,1.22887,0.00135826,0.00135826,0.00135826
17,46.3093,1.1823,1.74498,1.0489,0.85858,0.83236,0.90216,0.59338,1.31865,1.91245,1.1899,0.00135355,0.00135355,0.00135355
18,48.9251,1.14806,1.68512,1.02579,0.80559,0.93626,0.94371,0.57545,1.28472,1.81624,1.09442,0.00134883,0.00134883,0.00134883
19,51.5209,1.11287,1.72355,1.01178,0.94993,0.91424,0.97635,0.61502,1.29816,1.74698,1.13346,0.00134412,0.00134412,0.00134412
20,54.1228,1.09166,1.57191,1.0392,0.88115,0.86111,0.89795,0.6221,1.20089,1.78569,1.10993,0.0013394,0.0013394,0.0013394
21,56.7065,1.07634,1.49996,0.98808,0.8807,0.83334,0.91292,0.66058,1.11327,1.62063,1.05663,0.00133469,0.00133469,0.00133469
22,59.2833,1.08527,1.46819,0.99023,0.91003,0.91605,0.96844,0.65397,1.11547,1.60476,1.04161,0.00132997,0.00132997,0.00132997
23,61.8726,1.01195,1.39865,0.97875,0.93279,0.90458,0.98284,0.65967,1.22456,1.56103,1.07646,0.00132525,0.00132525,0.00132525
24,64.4572,1.131,1.41175,0.99055,0.89267,0.94622,0.95511,0.6183,1.21075,1.51168,1.06095,0.00132054,0.00132054,0.00132054
25,67.0157,1.10798,1.39977,1.00372,0.90287,0.91157,0.94617,0.62956,1.22961,1.4724,1.06891,0.00131582,0.00131582,0.00131582
26,69.5657,1.11078,1.44153,0.9931,0.91778,0.97214,0.9635,0.63412,1.1739,1.43739,1.04184,0.00131111,0.00131111,0.00131111
27,72.2398,1.06078,1.35482,0.98851,0.94224,0.97222,0.97641,0.63202,1.16953,1.3229,1.04604,0.00130639,0.00130639,0.00130639
28,74.8031,1.05179,1.27019,0.98137,0.98183,0.94664,0.99119,0.66489,1.18473,1.3732,1.08497,0.00130168,0.00130168,0.00130168
29,77.4391,1.0801,1.32477,1.01195,0.88704,0.94412,0.96549,0.66028,1.11387,1.24391,1.10202,0.00129696,0.00129696,0.00129696
30,80.0341,1.00882,1.22549,0.97211,0.92631,0.98998,0.98679,0.66471,1.15789,1.29593,1.10415,0.00129224,0.00129224,0.00129224
31,82.6707,1.07581,1.25109,0.99363,0.9277,0.9907,0.97981,0.67574,1.14291,1.25798,1.07509,0.00128753,0.00128753,0.00128753
32,85.322,1.05212,1.1852,0.97968,0.95582,0.99618,0.99295,0.63843,1.21289,1.22006,1.0623,0.00128281,0.00128281,0.00128281
33,87.8943,1.03055,1.20454,0.96553,0.95912,0.99504,0.995,0.66831,1.20902,1.23082,1.06769,0.0012781,0.0012781,0.0012781
34,90.4875,1.00826,1.16351,0.97661,0.98092,1,0.995,0.7102,1.08926,1.19854,1.05707,0.00127338,0.00127338,0.00127338
35,93.1459,1.05105,1.12713,0.96518,0.96746,1,0.995,0.65646,1.2321,1.18538,1.12866,0.00126867,0.00126867,0.00126867
36,95.7601,0.98335,1.12561,0.96472,0.94984,0.95516,0.99295,0.68493,1.16693,1.16452,1.11542,0.00126395,0.00126395,0.00126395
37,98.3699,0.96132,1.05995,0.94774,0.94385,1,0.995,0.6852,1.19646,1.13116,1.09322,0.00125923,0.00125923,0.00125923
38,101.008,1.00347,1.10306,0.96413,0.95383,1,0.995,0.67524,1.20793,1.13338,1.0997,0.00125452,0.00125452,0.00125452
39,103.706,0.99048,1.05885,0.96512,0.9306,0.98759,0.995,0.6754,1.14591,1.09948,1.09072,0.0012498,0.0012498,0.0012498
40,106.398,1.02925,1.06275,0.98558,0.94853,0.99198,0.995,0.64485,1.21927,1.13698,1.10023,0.00124509,0.00124509,0.00124509
41,109.049,0.9735,1.00811,0.95032,0.92197,0.99416,0.995,0.67942,1.10077,1.10802,1.07576,0.00124037,0.00124037,0.00124037
42,111.784,0.98671,0.98613,0.94467,0.94464,0.91264,0.95522,0.62585,1.235,1.20712,1.13281,0.00123566,0.00123566,0.00123566
43,114.502,0.94019,0.97534,0.93721,0.97126,0.89726,0.96394,0.64928,1.18339,1.13175,1.07867,0.00123094,0.00123094,0.00123094
44,117.166,0.96784,0.97869,0.93557,0.96905,0.93808,0.98897,0.6783,1.12664,1.09033,1.07895,0.00122622,0.00122622,0.00122622
45,119.826,0.95832,0.97494,0.95368,0.97972,0.97222,0.98833,0.68333,1.18156,1.05621,1.12051,0.00122151,0.00122151,0.00122151
46,122.45,0.95515,0.98507,0.92772,0.95362,0.97222,0.98897,0.68287,1.11845,1.00526,1.07268,0.00121679,0.00121679,0.00121679
47,125.109,0.91594,0.92858,0.92749,0.98481,1,0.995,0.69989,1.06418,0.98231,1.01616,0.00121208,0.00121208,0.00121208
48,127.767,0.95428,0.93082,0.95581,0.9101,0.97222,0.97266,0.6534,1.17754,1.0637,1.03906,0.00120736,0.00120736,0.00120736
49,130.366,0.94544,0.94791,0.92682,0.94904,0.98969,0.99295,0.67499,1.11324,1.02086,1.04284,0.00120265,0.00120265,0.00120265
50,132.998,0.95359,0.9787,0.93851,0.98531,0.99589,0.995,0.67288,1.17773,1.07073,1.07209,0.00119793,0.00119793,0.00119793
51,135.697,0.90666,0.89885,0.92796,0.96062,1,0.98654,0.67972,1.095,0.9566,1.01092,0.00119322,0.00119322,0.00119322
52,138.269,0.93312,0.8629,0.9218,0.95517,1,0.995,0.70621,1.06269,0.96544,1.00899,0.0011885,0.0011885,0.0011885
53,140.882,0.9513,0.89938,0.92904,0.9822,0.99205,0.995,0.6539,1.18631,1.05635,1.06952,0.00118378,0.00118378,0.00118378
54,143.519,0.91832,0.84736,0.93642,0.98923,0.98239,0.995,0.66932,1.09862,0.99319,1.02918,0.00117907,0.00117907,0.00117907
55,146.179,0.93692,0.85253,0.92907,0.95685,0.97392,0.995,0.65881,1.18597,1.01986,1.05616,0.00117435,0.00117435,0.00117435
56,148.793,0.91187,0.8622,0.94495,0.97067,0.97222,0.99295,0.66448,1.17285,0.97139,1.04636,0.00116964,0.00116964,0.00116964
57,151.388,0.9737,0.86298,0.98837,0.98634,0.9664,0.99295,0.67652,1.18402,0.95878,1.09335,0.00116492,0.00116492,0.00116492
58,154.032,0.97663,0.87204,0.97305,0.96571,0.97169,0.995,0.66733,1.26251,0.97668,1.1183,0.00116021,0.00116021,0.00116021
59,156.61,0.98275,0.87266,0.97126,0.98986,1,0.995,0.6804,1.20215,0.8946,1.06843,0.00115549,0.00115549,0.00115549
60,159.188,0.88017,0.81357,0.94185,0.94293,0.96965,0.95222,0.66805,1.15719,0.91254,1.06406,0.00115077,0.00115077,0.00115077
61,161.797,0.93101,0.86216,0.94743,0.96583,0.97176,0.9475,0.68677,1.17025,0.89301,1.1038,0.00114606,0.00114606,0.00114606
62,164.385,0.90687,0.8044,0.95278,0.98481,0.99585,0.995,0.6721,1.24594,0.88305,1.14592,0.00114134,0.00114134,0.00114134
63,166.993,0.90766,0.82101,0.94099,0.93707,0.99833,0.9831,0.67299,1.17156,0.88571,1.08204,0.00113663,0.00113663,0.00113663
64,169.626,0.8885,0.78199,0.93485,0.92789,1,0.97258,0.67118,1.11986,0.84402,1.08146,0.00113191,0.00113191,0.00113191
65,172.238,0.87176,0.78836,0.93689,0.92653,1,0.97632,0.64996,1.19588,0.85542,1.07141,0.0011272,0.0011272,0.0011272
66,174.868,0.87761,0.76774,0.93136,0.93149,0.97222,0.9434,0.68952,1.0345,0.80599,1.04447,0.00112248,0.00112248,0.00112248
67,177.513,0.92609,0.78699,0.91371,0.97506,1,0.995,0.67504,1.10867,0.9193,1.06545,0.00111776,0.00111776,0.00111776
68,180.144,0.92337,0.79721,0.93258,0.97252,1,0.995,0.65984,1.13569,0.95932,1.05968,0.00111305,0.00111305,0.00111305
69,182.795,0.82657,0.7406,0.90477,0.96325,0.97222,0.94528,0.69901,1.05765,0.90204,1.02381,0.00110833,0.00110833,0.00110833
70,185.481,0.82992,0.7471,0.89473,0.94718,0.96587,0.94528,0.66639,1.11131,0.90406,1.00986,0.00110362,0.00110362,0.00110362
71,188.121,0.8597,0.73283,0.9152,0.95748,0.9932,0.9909,0.65925,1.10352,0.85249,1.04298,0.0010989,0.0010989,0.0010989
72,190.741,0.83502,0.73596,0.91357,0.98247,0.97953,0.995,0.66524,1.13171,0.88655,1.04587,0.00109419,0.00109419,0.00109419
73,193.362,0.82763,0.72139,0.88807,0.99051,0.98892,0.995,0.67006,1.11572,0.85439,1.05516,0.00108947,0.00108947,0.00108947
74,195.995,0.89347,0.72824,0.91403,0.97237,0.97039,0.99119,0.66376,1.16113,0.80035,1.10601,0.00108475,0.00108475,0.00108475
75,198.669,0.8385,0.70915,0.90752,0.98375,1,0.995,0.69021,1.08103,0.75791,1.0839,0.00108004,0.00108004,0.00108004
76,201.301,0.82711,0.69852,0.90003,0.98062,1,0.995,0.70706,1.04592,0.77609,1.01809,0.00107532,0.00107532,0.00107532
77,203.966,0.82544,0.69452,0.91291,0.98904,0.99347,0.995,0.67395,1.1508,0.79535,1.00972,0.00107061,0.00107061,0.00107061
78,206.545,0.81739,0.68539,0.88818,0.98499,0.99726,0.995,0.67606,1.1349,0.80141,0.99217,0.00106589,0.00106589,0.00106589
79,209.209,0.86238,0.69122,0.8899,0.97812,0.99979,0.995,0.69607,1.05155,0.84519,0.97049,0.00106118,0.00106118,0.00106118
80,211.815,0.82287,0.70467,0.90751,0.95117,1,0.9909,0.67988,1.10902,0.83997,0.97389,0.00105646,0.00105646,0.00105646
81,214.426,0.80483,0.69004,0.9,0.98389,0.99447,0.995,0.69569,1.08282,0.82619,0.97643,0.00105174,0.00105174,0.00105174
82,217.051,0.79171,0.67253,0.89267,0.98346,1,0.995,0.68358,1.09226,0.79665,1.00992,0.00104703,0.00104703,0.00104703
83,219.644,0.81093,0.66851,0.88693,0.99165,0.96737,0.995,0.66524,1.14326,0.79249,1.04737,0.00104231,0.00104231,0.00104231
84,222.226,0.81441,0.68794,0.89747,0.96521,0.93843,0.95017,0.71206,1.07393,0.73351,1.07006,0.0010376,0.0010376,0.0010376
85,224.85,0.8383,0.69279,0.90595,0.95091,0.9668,0.9475,0.66835,1.14333,0.77283,1.03956,0.00103288,0.00103288,0.00103288
